"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"C11orf58",4.90000087536604e-281,0.297456685452137,0.578,0.544,1.60479928669113e-276,"0","C11orf58"
"TAF10",1.5163050760282e-278,0.296728492249513,0.54,0.49,4.96605075449997e-274,"0","TAF10"
"MT-ATP8",5.39874757159623e-271,0.25907085747377,0.712,0.687,1.76814381717348e-266,"0","MT-ATP8"
"HNRNPL",1.241727874785e-264,0.310104636394587,0.508,0.461,4.06678296270835e-260,"0","HNRNPL"
"HNRNPF",6.51628949697146e-259,0.302668175411234,0.549,0.515,2.13414997315312e-254,"0","HNRNPF"
"SRRM1",2.87935656257066e-241,0.286777358163859,0.591,0.562,9.43018067807517e-237,"0","SRRM1"
"SF3B1",2.29334936881284e-238,0.250076766916631,0.592,0.564,7.51094851779893e-234,"0","SF3B1"
"NDUFB8",2.25956868553684e-230,0.296613995390159,0.528,0.496,7.40031340200172e-226,"0","NDUFB8"
"SNU13",4.09802412666054e-220,0.279009780574592,0.552,0.521,1.34214388172259e-215,"0","SNU13"
"JUNB",3.20661712256807e-210,0.283227530538901,0.816,0.777,1.05019917381227e-205,"0","JUNB"
"HNRNPD",7.98217273041294e-207,0.270376012320548,0.524,0.494,2.61424139093754e-202,"0","HNRNPD"
"ARID4B",2.22027012624574e-178,0.273012884364124,0.503,0.472,7.27160669046743e-174,"0","ARID4B"
"XRCC5",4.33169283534872e-176,0.279711550558553,0.524,0.502,1.41867272050506e-171,"0","XRCC5"
"KHDRBS1",2.82659709521079e-169,0.282251449598815,0.508,0.485,9.25738814652487e-165,"0","KHDRBS1"
"STAT3",5.55135626881884e-140,0.253095627344816,0.504,0.481,1.81812469160086e-135,"0","STAT3"
"NKG7",0,1.88553280899187,0.873,0.243,0,"1","NKG7"
"CCL5",0,2.11152634485834,0.941,0.312,0,"1","CCL5"
"GZMA",0,1.97384697328435,0.831,0.232,0,"1","GZMA"
"CST7",0,1.76164165239746,0.875,0.29,0,"1","CST7"
"GZMH",0,2.3883565068824,0.69,0.157,0,"1","GZMH"
"CCL4",0,2.41467169035028,0.768,0.255,0,"1","CCL4"
"CD8A",0,2.54637575648876,0.639,0.144,0,"1","CD8A"
"CTSW",0,1.56310205945976,0.717,0.223,0,"1","CTSW"
"PRF1",0,1.2792771040701,0.67,0.198,0,"1","PRF1"
"CD3E1",0,1.24430926084535,0.9,0.433,0,"1","CD3E"
"GZMM",0,1.76450304833461,0.731,0.267,0,"1","GZMM"
"CD3D1",0,1.28889283410787,0.827,0.389,0,"1","CD3D"
"CD8B",0,2.45403824273859,0.53,0.107,0,"1","CD8B"
"HCST",0,1.46843302023782,0.893,0.489,0,"1","HCST"
"CD3G1",0,1.35548869307172,0.726,0.323,0,"1","CD3G"
"CD21",0,1.16973722930401,0.775,0.374,0,"1","CD2"
"GZMB",0,1.23087909073981,0.553,0.158,0,"1","GZMB"
"KLRD1",0,1.64697674516872,0.53,0.149,0,"1","KLRD1"
"KLRK1",0,1.89989364959368,0.537,0.157,0,"1","KLRK1"
"IL321",0,1.24205147100033,0.925,0.56,0,"1","IL32"
"DUSP2",0,1.45929607064671,0.737,0.381,0,"1","DUSP2"
"LCK1",0,1.24460240009593,0.693,0.338,0,"1","LCK"
"FYN1",0,1.09726598757575,0.783,0.464,0,"1","FYN"
"PTPRCAP1",0,1.16151326725139,0.742,0.423,0,"1","PTPRCAP"
"SYTL3",0,1.25090330919756,0.604,0.289,0,"1","SYTL3"
"ITGB2",0,1.02014466815913,0.754,0.454,0,"1","ITGB2"
